"Plot Title: greenhouse_1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 874406, SEN S/N: 874406)","Intensity, Lux (LGR S/N: 874406, SEN S/N: 874406)","Coupler Attached (LGR S/N: 874406)","Host Connected (LGR S/N: 874406)","Stopped (LGR S/N: 874406)","End Of File (LGR S/N: 874406)"
1,08/06/24 02:00:00  PM,23.581,3616.7,,,,
2,08/06/24 03:00:00  PM,23.869,3100.0,,,,
3,08/06/24 04:00:00  PM,24.062,2152.8,,,,
4,08/06/24 05:00:00  PM,24.351,1722.2,,,,
5,08/06/24 06:00:00  PM,24.835,3100.0,,,,
6,08/06/24 07:00:00  PM,24.931,527.4,,,,
7,08/06/24 08:00:00  PM,24.641,226.0,,,,
8,08/06/24 09:00:00  PM,24.255,0.0,,,,
9,08/06/24 10:00:00  PM,23.773,0.0,,,,
10,08/06/24 11:00:00  PM,23.388,0.0,,,,
11,08/07/24 12:00:00  AM,23.004,0.0,,,,
12,08/07/24 01:00:00  AM,22.621,0.0,,,,
13,08/07/24 02:00:00  AM,22.142,0.0,,,,
14,08/07/24 03:00:00  AM,21.760,0.0,,,,
15,08/07/24 04:00:00  AM,21.378,0.0,,,,
16,08/07/24 05:00:00  AM,20.901,0.0,,,,
17,08/07/24 06:00:00  AM,20.519,0.0,,,,
18,08/07/24 07:00:00  AM,20.234,322.9,,,,
19,08/07/24 08:00:00  AM,20.519,2583.4,,,,
20,08/07/24 09:00:00  AM,22.142,5166.7,,,,
21,08/07/24 10:00:00  AM,26.000,24800.2,,,,
22,08/07/24 11:00:00  AM,26.977,8266.7,,,,
23,08/07/24 12:00:00  PM,29.452,12400.1,,,,
24,08/07/24 01:00:00  PM,31.268,13777.9,,,,
25,08/07/24 02:00:00  PM,32.600,18600.1,,,,
26,08/07/24 03:00:00  PM,33.326,17222.3,,,,
27,08/07/24 04:00:00  PM,33.953,11711.2,,,,
28,08/07/24 05:00:00  PM,33.743,12400.1,,,,
29,08/07/24 06:00:00  PM,32.704,4650.0,,,,
30,08/07/24 07:00:00  PM,31.166,1550.0,,,,
31,08/07/24 08:00:00  PM,29.752,473.6,,,,
32,08/07/24 09:00:00  PM,28.456,0.0,,,,
33,08/07/24 10:00:00  PM,27.272,0.0,,,,
34,08/07/24 11:00:00  PM,26.292,0.0,,,,
35,08/08/24 12:00:00  AM,25.513,0.0,,,,
36,08/08/24 01:00:00  AM,24.738,0.0,,,,
37,08/08/24 02:00:00  AM,24.062,0.0,,,,
38,08/08/24 03:00:00  AM,23.581,0.0,,,,
39,08/08/24 04:00:00  AM,23.100,0.0,,,,
40,08/08/24 05:00:00  AM,22.621,0.0,,,,
41,08/08/24 06:00:00  AM,22.333,0.0,,,,
42,08/08/24 07:00:00  AM,22.238,376.7,,,,
43,08/08/24 08:00:00  AM,22.621,2152.8,,,,
44,08/08/24 09:00:00  AM,23.388,2497.2,,,,
45,08/08/24 10:00:00  AM,24.158,2755.6,,,,
46,08/08/24 11:00:00  AM,24.931,2669.5,,,,
47,08/08/24 12:00:00  PM,26.292,5511.1,,,,
48,08/08/24 01:00:00  PM,28.555,14466.8,,,,
49,08/08/24 02:00:00  PM,28.555,1980.6,,,,
50,08/08/24 03:00:00  PM,28.555,1345.5,,,,
51,08/08/24 04:00:00  PM,28.456,1550.0,,,,
52,08/08/24 05:00:00  PM,28.655,1808.3,,,,
53,08/08/24 06:00:00  PM,28.555,495.1,,,,
54,08/08/24 07:00:00  PM,28.357,139.9,,,,
55,08/08/24 08:00:00  PM,28.060,32.3,,,,
56,08/08/24 09:00:00  PM,27.764,0.0,,,,
57,08/08/24 10:00:00  PM,27.468,0.0,,,,
58,08/08/24 11:00:00  PM,27.173,0.0,,,,
59,08/09/24 12:00:00  AM,26.977,0.0,,,,
60,08/09/24 01:00:00  AM,26.781,0.0,,,,
61,08/09/24 02:00:00  AM,26.683,0.0,,,,
62,08/09/24 03:00:00  AM,26.488,0.0,,,,
63,08/09/24 04:00:00  AM,26.488,0.0,,,,
64,08/09/24 05:00:00  AM,26.292,0.0,,,,
65,08/09/24 06:00:00  AM,26.195,0.0,,,,
66,08/09/24 07:00:00  AM,26.097,118.4,,,,
67,08/09/24 08:00:00  AM,26.195,947.2,,,,
68,08/09/24 09:00:00  AM,26.585,1636.1,,,,
69,08/09/24 10:00:00  AM,27.862,11022.3,,,,
70,08/09/24 11:00:00  AM,29.652,6200.0,,,,
71,08/09/24 12:00:00  PM,31.268,8611.2,,,,
72,08/09/24 01:00:00  PM,32.911,9300.1,,,,
73,08/09/24 02:00:00  PM,34.374,10333.4,,,,
74,08/09/24 03:00:00  PM,33.953,2669.5,,,,
75,08/09/24 04:00:00  PM,34.268,6544.5,,,,
76,08/09/24 05:00:00  PM,33.848,5511.1,,,,
77,08/09/24 06:00:00  PM,32.911,2411.1,,,,
78,08/09/24 07:00:00  PM,31.370,549.0,,,,
79,08/09/24 08:00:00  PM,29.752,226.0,,,,
80,08/09/24 09:00:00  PM,28.357,0.0,,,,
81,08/09/24 10:00:00  PM,27.173,0.0,,,,
82,08/09/24 11:00:00  PM,26.195,0.0,,,,
83,08/10/24 12:00:00  AM,25.319,0.0,,,,
84,08/10/24 01:00:00  AM,24.738,0.0,,,,
85,08/10/24 02:00:00  AM,24.351,0.0,,,,
86,08/10/24 03:00:00  AM,23.869,0.0,,,,
87,08/10/24 04:00:00  AM,23.388,0.0,,,,
88,08/10/24 05:00:00  AM,22.908,0.0,,,,
89,08/10/24 06:00:00  AM,22.525,0.0,,,,
90,08/10/24 07:00:00  AM,22.238,839.6,,,,
91,08/10/24 08:00:00  AM,22.429,2411.1,,,,
92,08/10/24 09:00:00  AM,23.581,5511.1,,,,
93,08/10/24 10:00:00  AM,25.708,10333.4,,,,
94,08/10/24 11:00:00  AM,26.879,5511.1,,,,
95,08/10/24 12:00:00  PM,27.764,11711.2,,,,
96,08/10/24 01:00:00  PM,28.853,11711.2,,,,
97,08/10/24 02:00:00  PM,29.552,4133.4,,,,
98,08/10/24 03:00:00  PM,30.356,5166.7,,,,
99,08/10/24 04:00:00  PM,29.652,3444.5,,,,
100,08/10/24 05:00:00  PM,28.456,1894.5,,,,
101,08/10/24 06:00:00  PM,27.764,1722.2,,,,
102,08/10/24 07:00:00  PM,27.075,1011.8,,,,
103,08/10/24 08:00:00  PM,26.390,150.7,,,,
104,08/10/24 09:00:00  PM,25.708,0.0,,,,
105,08/10/24 10:00:00  PM,25.125,0.0,,,,
106,08/10/24 11:00:00  PM,24.641,0.0,,,,
107,08/11/24 12:00:00  AM,24.158,0.0,,,,
108,08/11/24 01:00:00  AM,23.484,0.0,,,,
109,08/11/24 02:00:00  AM,22.908,0.0,,,,
110,08/11/24 03:00:00  AM,22.429,0.0,,,,
111,08/11/24 04:00:00  AM,21.951,0.0,,,,
112,08/11/24 05:00:00  AM,21.760,0.0,,,,
113,08/11/24 06:00:00  AM,21.664,0.0,,,,
114,08/11/24 07:00:00  AM,21.569,258.3,,,,
115,08/11/24 08:00:00  AM,21.855,2411.1,,,,
116,08/11/24 09:00:00  AM,22.812,5166.7,,,,
117,08/11/24 10:00:00  AM,24.448,11022.3,,,,
118,08/11/24 11:00:00  AM,24.545,8266.7,,,,
119,08/11/24 12:00:00  PM,25.708,2583.4,,,,
120,08/11/24 01:00:00  PM,27.468,14466.8,,,,
121,08/11/24 02:00:00  PM,26.781,2325.0,,,,
122,08/11/24 03:00:00  PM,27.075,2411.1,,,,
123,08/11/24 04:00:00  PM,27.567,3272.2,,,,
124,08/11/24 05:00:00  PM,27.370,6544.5,,,,
125,08/11/24 06:00:00  PM,27.075,1722.2,,,,
126,08/11/24 07:00:00  PM,26.585,785.8,,,,
127,08/11/24 08:00:00  PM,25.902,139.9,,,,
128,08/11/24 09:00:00  PM,25.125,0.0,,,,
129,08/11/24 10:00:00  PM,24.448,0.0,,,,
130,08/11/24 11:00:00  PM,23.966,0.0,,,,
131,08/12/24 12:00:00  AM,23.388,0.0,,,,
132,08/12/24 01:00:00  AM,22.908,0.0,,,,
133,08/12/24 02:00:00  AM,22.333,0.0,,,,
134,08/12/24 03:00:00  AM,21.855,0.0,,,,
135,08/12/24 04:00:00  AM,21.569,0.0,,,,
136,08/12/24 05:00:00  AM,21.187,0.0,,,,
137,08/12/24 06:00:00  AM,20.805,0.0,,,,
138,08/12/24 07:00:00  AM,20.519,333.7,,,,
139,08/12/24 08:00:00  AM,20.615,1463.9,,,,
140,08/12/24 09:00:00  AM,21.473,3616.7,,,,
141,08/12/24 10:00:00  AM,22.238,2927.8,,,,
142,08/12/24 11:00:00  AM,24.158,8611.2,,,,
143,08/12/24 12:00:00  PM,26.879,4822.3,,,,
144,08/12/24 01:00:00  PM,28.456,1345.5,,,,
145,08/12/24 02:00:00  PM,27.961,990.3,,,,
146,08/12/24 03:00:00  PM,28.456,990.3,,,,
147,08/12/24 04:00:00  PM,28.655,1291.7,,,,
148,08/12/24 05:00:00  PM,29.552,1808.3,,,,
149,08/12/24 06:00:00  PM,29.552,904.2,,,,
150,08/12/24 07:00:00  PM,29.152,183.0,,,,
151,08/12/24 08:00:00  PM,28.159,53.8,,,,
152,08/12/24 09:00:00  PM,26.977,0.0,,,,
153,08/12/24 10:00:00  PM,26.000,0.0,,,,
154,08/12/24 11:00:00  PM,25.028,0.0,,,,
155,08/13/24 12:00:00  AM,24.255,0.0,,,,
156,08/13/24 01:00:00  AM,23.581,0.0,,,,
157,08/13/24 02:00:00  AM,22.908,0.0,,,,
158,08/13/24 03:00:00  AM,22.429,0.0,,,,
159,08/13/24 04:00:00  AM,21.855,0.0,,,,
160,08/13/24 05:00:00  AM,21.378,0.0,,,,
161,08/13/24 06:00:00  AM,20.996,0.0,,,,
162,08/13/24 07:00:00  AM,20.710,86.1,,,,
163,08/13/24 08:00:00  AM,20.996,688.9,,,,
164,08/13/24 09:00:00  AM,22.333,1324.0,,,,
165,08/13/24 10:00:00  AM,26.683,7233.4,,,,
166,08/13/24 11:00:00  AM,27.764,2927.8,,,,
167,08/13/24 12:00:00  PM,30.558,4477.8,,,,
168,08/13/24 01:00:00  PM,32.600,4994.5,,,,
169,08/13/24 02:00:00  PM,33.743,4477.8,,,,
170,08/13/24 03:00:00  PM,35.435,5511.1,,,,
171,08/13/24 04:00:00  PM,35.115,2755.6,,,,
172,08/13/24 05:00:00  PM,34.691,1550.0,,,,
173,08/13/24 06:00:00  PM,33.430,570.5,,,,
174,08/13/24 07:00:00  PM,32.188,301.4,,,,
175,08/13/24 08:00:00  PM,30.558,86.1,,,,
176,08/13/24 09:00:00  PM,29.352,0.0,,,,
177,08/13/24 10:00:00  PM,28.060,0.0,,,,
178,08/13/24 11:00:00  PM,27.075,0.0,,,,
179,08/14/24 12:00:00  AM,26.195,0.0,,,,
180,08/14/24 01:00:00  AM,25.319,0.0,,,,
181,08/14/24 02:00:00  AM,24.641,0.0,,,,
182,08/14/24 03:00:00  AM,24.062,0.0,,,,
183,08/14/24 04:00:00  AM,23.484,0.0,,,,
184,08/14/24 05:00:00  AM,23.004,0.0,,,,
185,08/14/24 06:00:00  AM,22.429,0.0,,,,
186,08/14/24 07:00:00  AM,22.046,139.9,,,,
187,08/14/24 08:00:00  AM,22.046,688.9,,,,
188,08/14/24 09:00:00  AM,23.388,1463.9,,,,
189,08/14/24 10:00:00  AM,27.862,7233.4,,,,
190,08/14/24 11:00:00  AM,29.053,3444.5,,,,
191,08/14/24 12:00:00  PM,31.574,5166.7,,,,
192,08/14/24 01:00:00  PM,33.535,4994.5,,,,
193,08/14/24 02:00:00  PM,34.163,3444.5,,,,
194,08/14/24 03:00:00  PM,35.009,4994.5,,,,
195,08/14/24 04:00:00  PM,35.009,2583.4,,,,
196,08/14/24 05:00:00  PM,34.903,1722.2,,,,
197,08/14/24 06:00:00  PM,34.163,839.6,,,,
198,08/14/24 07:00:00  PM,33.118,247.6,,,,
199,08/14/24 08:00:00  PM,31.574,64.6,,,,
200,08/14/24 09:00:00  PM,30.154,0.0,,,,
201,08/14/24 10:00:00  PM,28.853,0.0,,,,
202,08/14/24 11:00:00  PM,27.764,0.0,,,,
203,08/15/24 12:00:00  AM,26.781,0.0,,,,
204,08/15/24 01:00:00  AM,25.902,0.0,,,,
205,08/15/24 02:00:00  AM,25.222,0.0,,,,
206,08/15/24 03:00:00  AM,24.545,0.0,,,,
207,08/15/24 04:00:00  AM,23.869,0.0,,,,
208,08/15/24 05:00:00  AM,23.484,0.0,,,,
