"Plot Title: greenhouse_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,08/06/24 02:00:00  PM,22.046,5166.7,,,
2,08/06/24 03:00:00  PM,21.855,3444.5,,,
3,08/06/24 04:00:00  PM,22.525,2411.1,,,
4,08/06/24 05:00:00  PM,23.100,1980.6,,,
5,08/06/24 06:00:00  PM,23.966,3444.5,,,
6,08/06/24 07:00:00  PM,24.255,699.7,,,
7,08/06/24 08:00:00  PM,23.966,258.3,,,
8,08/06/24 09:00:00  PM,23.677,0.0,,,
9,08/06/24 10:00:00  PM,23.292,0.0,,,
10,08/06/24 11:00:00  PM,22.908,0.0,,,
11,08/07/24 12:00:00  AM,22.525,0.0,,,
12,08/07/24 01:00:00  AM,22.142,0.0,,,
13,08/07/24 02:00:00  AM,21.760,0.0,,,
14,08/07/24 03:00:00  AM,21.378,0.0,,,
15,08/07/24 04:00:00  AM,20.996,0.0,,,
16,08/07/24 05:00:00  AM,20.519,0.0,,,
17,08/07/24 06:00:00  AM,20.138,0.0,,,
18,08/07/24 07:00:00  AM,19.853,344.4,,,
19,08/07/24 08:00:00  AM,20.234,2755.6,,,
20,08/07/24 09:00:00  AM,21.951,5166.7,,,
21,08/07/24 10:00:00  AM,24.545,8611.2,,,
22,08/07/24 11:00:00  AM,27.272,10333.4,,,
23,08/07/24 12:00:00  PM,29.252,16533.4,,,
24,08/07/24 01:00:00  PM,31.064,17222.3,,,
25,08/07/24 02:00:00  PM,31.983,12400.1,,,
26,08/07/24 03:00:00  PM,32.807,16533.4,,,
27,08/07/24 04:00:00  PM,33.743,16533.4,,,
28,08/07/24 05:00:00  PM,33.326,9300.1,,,
29,08/07/24 06:00:00  PM,32.497,4994.5,,,
30,08/07/24 07:00:00  PM,31.166,1980.6,,,
31,08/07/24 08:00:00  PM,29.652,570.5,,,
32,08/07/24 09:00:00  PM,28.159,0.0,,,
33,08/07/24 10:00:00  PM,26.977,0.0,,,
34,08/07/24 11:00:00  PM,26.097,0.0,,,
35,08/08/24 12:00:00  AM,25.125,0.0,,,
36,08/08/24 01:00:00  AM,24.448,0.0,,,
37,08/08/24 02:00:00  AM,23.773,0.0,,,
38,08/08/24 03:00:00  AM,23.292,0.0,,,
39,08/08/24 04:00:00  AM,22.812,0.0,,,
40,08/08/24 05:00:00  AM,22.525,0.0,,,
41,08/08/24 06:00:00  AM,22.238,0.0,,,
42,08/08/24 07:00:00  AM,22.046,452.1,,,
43,08/08/24 08:00:00  AM,22.429,2497.2,,,
44,08/08/24 09:00:00  AM,23.292,2927.8,,,
45,08/08/24 10:00:00  AM,24.062,3272.2,,,
46,08/08/24 11:00:00  AM,24.931,3100.0,,,
47,08/08/24 12:00:00  PM,26.390,6544.5,,,
48,08/08/24 01:00:00  PM,28.655,15155.7,,,
49,08/08/24 02:00:00  PM,28.853,2325.0,,,
50,08/08/24 03:00:00  PM,28.853,1550.0,,,
51,08/08/24 04:00:00  PM,28.853,1894.5,,,
52,08/08/24 05:00:00  PM,28.853,2066.7,,,
53,08/08/24 06:00:00  PM,28.754,559.7,,,
