Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Turionifera1,Turionifera2,Turionifera3,,,Duckweed_Notes,,,,,Notes
26-Jul,31-Jul,simplelong15_000_1,15,0,1,0,8,1,,,,,,,,,,,,,,
26-Jul,31-Jul,simplelong15_090_1,15,0.9,3,6,6,0,,,,,,,,,,,,,,
26-Jul,31-Jul,simplelong15_060_1,15,0.6,5,0,3,4,,,,,,,,,,,,,,
26-Jul,31-Jul,simplelong15_090_rev_1,15,0.9,6,0,0,1,,,,,,,,,,,,,,
02-Aug,07-Aug,simplelong19_000_1,19,0,1,12,16,21,,,,,,,,,,,,,,
02-Aug,07-Aug,N/A,19,0,2,18,15,17,,,,,,,,,,,,,,run at constant temperature
02-Aug,07-Aug,simplelong19_060_1,19,0.6,3,19,16,14,,,,,,,,,,,,,,
02-Aug,07-Aug,simplelong19_095_1,19,0.95,5,22,23,8,,,,,,,,,,,,,,
02-Aug,07-Aug,simplelong19_095_rev_1,19,0.95,6,19,17,8,,,,,,,,,,,,,,
09-Aug,14-Aug,simplelong23_000_1,23,0,1,21,21,22,,,,,,,,,,,,,,
09-Aug,14-Aug,simplelong23_060_1,23,0.6,3,23,26,20,,,,,,,,,,,,,,
09-Aug,14-Aug,simplelong23_095_1,23,0.95,5,24,22,27,,,,,,,,,,,,,,
09-Aug,14-Aug,simplelong23_095_rev_1,23,0.95,6,28,17,20,,,,,,,,,,,,,,
16-Aug,21-Aug,simplelong27_000_1,27,0,1,10,9,7,,,,,,,,,,,,,,possible power outage affecting results from Aug 16-21
16-Aug,21-Aug,simplelong27_060_1,27,0.6,3,7,2,2,,,,,,,,,,,,,,
16-Aug,21-Aug,simplelong27_095_1,27,0.95,5,16,17,25,,,,,,,,,,,,,,
16-Aug,21-Aug,simplelong27_095_rev_1,27,0.95,6,22,1,7,,,,,,,,,,,,,,
23-Aug,28-Aug,simplelong27_000_1,27,0,1,9,7,9,,,,,,,,,,,,,,power outage affecting incubators
23-Aug,28-Aug,simplelong27_060_1,27,0.6,3,6,5,4,,,,,,,,,,,,,,
23-Aug,28-Aug,simplelong27_095_1,27,0.95,5,21,18,10,,,,,,,,,,,,,,
