"auto_0.01","auto_0.58","auto_0.94","NA"
178,189,186,165
188,206,188,170
188,186,186,161
151,177,186,158
186,241,190,139
178,202,187,138
193,199,192,142
174,222,197,140
202,231,198,151
189,226,215,161
179,202,222,152
222,178,241,156
144,188,225,159
173,180,202,162
210,210,207,169
203,190,206,169
216,189,226,162
171,174,214,144
175,173,208,161
178,214,203,171
215,211,203,168
235,209,216,162
222,174,214,153
173,213,211,144
204,216,208,168
221,220,204,171
228,196,196,173
217,217,209,176
225,228,212,174
162,202,202,173
161,236,213,172
203,251,210,174
204,234,214,172
202,221,210,173
161,207,218,178
197,193,202,178
165,214,220,175
158,185,210,177
139,193,222,175
193,249,221,177
169,246,231,179
159,225,228,179
184,208,251,177
214,218,236,178
185,215,235,178
202,177,246,180
208,185,249,180
187,152,234,181
161,156,217,182
168,169,211,183
162,210,202,185
168,197,193,185
194,185,195,184
231,182,199,185
246,185,191,185
138,173,188,186
214,170,189,188
179,179,193,189
152,208,204,196
211,211,194,196
195,178,196,194
196,195,196,204
172,187,189,193
175,161,188,189
249,168,186,188
153,144,185,191
185,175,185,199
196,168,184,195
220,194,185,193
177,202,185,202
211,165,183,211
226,144,182,217
180,210,181,234
156,188,180,249
196,203,180,246
234,198,178,235
206,212,178,236
186,203,177,251
162,192,179,228
207,175,179,231
218,176,177,221
169,142,175,222
198,169,177,210
210,161,175,220
185,162,178,202
186,186,178,218
185,178,173,210
183,162,172,214
181,151,174,210
170,153,172,213
208,138,173,202
202,140,174,212
171,186,176,209
140,184,173,196
209,186,171,204
182,183,168,208
212,204,144,211
213,222,153,214
210,171,162,216
174,179,168,203
236,196,171,203
177,159,161,208
214,178,144,214
192,162,162,226
173,171,169,206
190,172,169,207
144,191,162,202
241,158,159,225
188,139,156,241
189,177,152,222
199,180,161,215
251,172,151,198
178,161,140,197
180,173,142,192
172,181,138,187
186,204,139,190
191,214,158,186
142,188,161,186
176,196,170,188
177,235,165,186
