"auto_0.01","auto_0.61","auto_0.95","NA"
171,185,200,173
231,181,196,174
186,164,205,172
225,201,216,171
181,231,221,171
201,200,222,171
164,181,239,174
132,174,225,172
167,163,258,170
198,161,254,164
200,171,241,156
164,216,257,158
200,167,254,161
205,171,226,147
193,176,231,163
183,202,220,165
220,220,210,167
161,198,211,166
192,165,206,150
189,165,209,165
173,158,221,167
210,187,220,164
177,167,216,166
186,172,213,169
171,163,214,161
171,166,223,164
187,180,227,163
156,206,221,157
193,187,216,132
210,221,207,131
205,239,198,149
174,216,203,164
208,198,204,167
202,174,206,171
181,171,201,171
203,149,200,174
187,150,200,174
185,177,205,174
198,196,208,183
254,185,210,181
179,171,198,184
187,173,197,187
175,164,201,187
221,213,202,191
149,188,198,193
211,171,194,193
176,172,195,188
213,183,195,192
147,156,196,187
201,131,196,188
178,147,189,180
188,164,186,182
222,161,187,181
196,132,189,179
164,177,186,178
216,188,186,176
189,181,185,181
174,194,185,177
182,205,181,175
166,167,177,176
220,187,176,177
195,186,175,181
206,195,177,185
172,221,181,185
165,222,176,186
191,241,178,186
131,175,179,189
171,189,181,187
209,186,182,186
185,227,180,189
177,221,188,196
167,210,187,196
157,184,192,195
181,196,188,195
196,197,193,194
184,211,193,198
196,181,191,202
166,178,187,201
186,174,187,197
163,174,184,198
150,186,181,210
257,176,183,208
254,196,174,205
176,187,174,200
221,192,174,200
239,198,171,201
171,204,171,206
204,257,167,204
226,210,164,203
207,216,149,198
221,201,131,207
223,166,132,216
206,164,157,221
216,174,163,227
258,220,164,223
170,193,161,214
200,193,169,213
163,206,166,216
174,207,164,220
214,191,167,221
180,214,165,209
216,226,150,206
164,254,166,211
241,254,167,210
227,258,165,220
174,225,163,231
181,200,147,226
187,169,161,254
169,189,158,257
188,209,156,241
158,223,164,254
174,205,170,258
198,179,172,225
165,182,174,239
167,157,171,222
194,170,171,221
195,208,171,216
161,200,172,205
172,195,174,196
197,203,173,200
