"auto_0","auto_0.56","auto_0.96","NA"
207,225,226,224
215,246,226,227
248,211,225,228
181,200,223,227
193,221,221,227
210,210,223,229
222,213,221,229
167,221,216,229
247,222,215,233
245,215,212,230
201,191,212,234
226,174,213,229
168,167,219,237
126,182,211,241
214,205,207,237
213,227,196,240
181,257,202,235
225,237,200,242
229,229,184,246
191,229,188,246
190,214,196,248
227,254,191,253
182,248,181,245
191,256,185,254
234,251,182,257
219,211,191,254
176,204,190,251
229,229,184,256
138,190,193,247
227,210,198,238
235,241,208,229
211,212,210,237
216,202,209,226
177,224,209,225
242,181,211,225
179,201,210,222
187,212,202,221
191,184,203,221
181,138,201,221
211,176,191,219
208,172,208,222
223,169,211,216
241,216,210,217
221,216,201,214
209,219,181,215
256,233,179,216
210,237,174,214
174,242,167,212
200,246,138,213
201,214,126,210
225,229,164,204
177,221,169,208
221,208,168,205
191,196,172,193
253,209,177,191
196,240,177,187
237,190,181,190
237,215,172,190
227,210,174,181
228,188,176,181
193,223,181,176
226,219,181,174
213,230,190,172
225,227,190,181
210,222,187,177
257,226,191,177
221,191,193,172
174,126,205,168
240,225,208,169
222,229,204,164
208,213,210,126
216,193,213,138
184,221,212,167
172,226,214,174
181,191,216,179
196,184,215,181
181,191,214,201
238,181,217,210
214,217,216,211
212,254,222,208
198,253,219,191
219,238,221,201
210,225,221,203
188,181,221,202
246,177,222,210
202,212,225,211
172,190,225,209
209,198,226,209
254,223,237,210
230,234,229,208
229,237,238,198
246,228,247,193
205,235,256,184
229,247,251,190
233,221,254,191
202,196,257,182
221,181,254,185
229,187,245,181
237,211,253,191
204,245,248,196
212,226,246,188
190,216,246,184
169,209,242,200
211,193,235,202
185,201,240,196
224,208,237,207
217,207,241,211
215,185,237,219
226,172,229,213
203,168,234,212
251,164,230,212
212,174,233,215
216,179,229,216
190,181,229,221
164,202,229,223
208,227,227,221
184,208,227,223
221,210,228,225
223,203,227,226
254,177,224,226
