"auto_0.02","auto_0.57","auto_0.96","auto_0.96rev"
204,249,228,222
243,239,224,229
230,254,228,232
240,259,230,233
253,234,229,235
211,198,227,238
254,204,217,238
211,213,224,250
216,199,228,262
252,212,219,259
245,189,228,250
175,217,222,239
227,245,223,243
182,265,222,253
228,264,216,258
258,258,219,252
262,239,221,264
233,238,216,276
189,219,214,265
219,206,217,262
186,186,216,258
270,184,213,270
264,221,213,262
256,205,211,254
248,216,211,254
221,222,205,258
173,213,204,251
200,232,186,252
189,208,175,249
215,206,176,239
217,186,184,234
248,182,186,235
220,213,173,232
258,200,176,231
262,186,186,239
257,173,182,241
272,221,189,258
249,239,198,257
232,215,199,257
229,189,200,254
235,205,189,259
247,176,202,264
184,222,206,265
234,249,205,278
221,228,205,264
239,254,210,280
233,235,211,272
224,278,212,248
232,247,213,243
222,229,213,245
265,235,215,249
208,227,214,256
259,214,208,241
210,224,206,247
202,211,214,258
278,259,220,248
250,217,221,247
205,238,221,240
264,258,229,237
249,233,230,233
228,228,233,230
223,252,237,229
258,228,240,221
264,231,247,221
229,248,248,220
217,216,258,214
231,228,247,206
186,205,241,208
241,229,256,214
213,254,249,215
239,241,245,213
199,264,243,213
212,252,248,212
239,221,272,211
252,222,280,210
214,257,264,205
238,237,278,205
254,243,265,206
224,258,264,202
221,272,259,189
235,265,254,200
229,257,257,199
257,262,257,198
213,230,258,189
276,247,241,182
258,262,239,186
219,256,231,176
211,220,232,173
216,224,235,186
213,251,234,184
238,262,239,176
176,233,249,175
241,214,252,186
265,214,251,204
222,250,258,205
186,248,254,211
198,264,254,211
258,276,262,213
213,240,270,213
216,176,258,216
230,210,262,217
243,229,265,214
206,250,276,216
237,243,264,221
262,253,252,219
206,241,258,216
205,230,253,222
251,216,243,223
280,202,239,222
176,270,250,228
254,258,259,219
250,280,262,228
247,258,250,224
228,232,238,217
214,219,238,227
259,213,235,229
228,211,233,230
205,211,232,228
214,175,229,224
222,223,222,228
