,ambient,heat_wave,time,order,
12,310,360,40,180,
13,308.4666622,358.4819956,50,190,
14,303.9711432,354.0314317,60,200,
15,296.8198052,346.9516071,70,210,
16,287.5,337.725,80,220,
17,276.646857,326.9803885,90,230,
18,265,315.45,100,240,
19,253.353143,303.9196115,110,250,
20,242.5,293.175,120,260,
21,233.1801948,283.9483929,130,270,
22,226.0288568,276.8685683,140,280,
23,221.5333378,272.4180044,150,290,
24,220,270.9,160,300,
1,221.5333378,272.4180044,170,310,
2,226.0288568,276.8685683,180,320,
3,233.1801948,283.9483929,190,330,
4,242.5,293.175,200,340,
5,253.353143,303.9196115,210,350,
6,265,315.45,220,360,
7,276.646857,326.9803885,230,370,
8,287.5,337.725,240,380,
9,296.8198052,346.9516071,10,390,
10,303.9711432,354.0314317,20,400,
11,308.4666622,358.4819956,30,410,
12,310,360,40,180,
13,308.4666622,358.4819956,50,190,
14,303.9711432,354.0314317,60,200,
15,296.8198052,346.9516071,70,210,
16,287.5,337.725,80,220,
17,276.646857,326.9803885,90,230,
18,265,315.45,100,240,
19,253.353143,303.9196115,110,250,
20,242.5,293.175,120,260,
21,233.1801948,283.9483929,130,270,
22,226.0288568,276.8685683,140,280,
23,221.5333378,272.4180044,150,290,
24,220,270.9,160,300,
1,221.5333378,272.4180044,170,310,
2,226.0288568,276.8685683,180,320,
3,233.1801948,283.9483929,190,330,
4,242.5,293.175,200,340,
5,253.353143,303.9196115,210,350,
6,265,315.45,220,360,
7,276.646857,326.9803885,230,370,
8,287.5,337.725,240,380,
9,296.8198052,346.9516071,10,390,
10,303.9711432,354.0314317,20,400,
11,308.4666622,358.4819956,30,410,
12,310,360,40,180,
13,308.4666622,358.4819956,50,190,
14,303.9711432,354.0314317,60,200,
15,296.8198052,346.9516071,70,210,
16,287.5,337.725,80,220,
17,276.646857,326.9803885,90,230,
18,265,315.45,100,240,
19,253.353143,303.9196115,110,250,
20,242.5,293.175,120,260,
21,233.1801948,283.9483929,130,270,
22,226.0288568,276.8685683,140,280,
23,221.5333378,272.4180044,150,290,
24,220,270.9,160,300,
1,221.5333378,272.4180044,170,310,
2,226.0288568,276.8685683,180,320,
3,233.1801948,283.9483929,190,330,
4,242.5,293.175,200,340,
5,253.353143,303.9196115,210,350,
6,265,315.45,220,360,
7,276.646857,326.9803885,230,370,
8,287.5,337.725,240,380,
9,296.8198052,346.9516071,10,390,
10,303.9711432,354.0314317,20,400,
11,308.4666622,358.4819956,30,410,
12,310,360,40,180,
13,308.4666622,358.4819956,50,190,
14,303.9711432,354.0314317,60,200,
15,296.8198052,346.9516071,70,210,
16,287.5,337.725,80,220,
17,276.646857,326.9803885,90,230,
18,265,315.45,100,240,
19,253.353143,303.9196115,110,250,
20,242.5,293.175,120,260,
21,233.1801948,283.9483929,130,270,
22,226.0288568,276.8685683,140,280,
23,221.5333378,272.4180044,150,290,
24,220,270.9,160,300,
1,221.5333378,272.4180044,170,310,
2,226.0288568,276.8685683,180,320,
3,233.1801948,283.9483929,190,330,
4,242.5,293.175,200,340,
5,253.353143,303.9196115,210,350,
6,265,315.45,220,360,
7,276.646857,326.9803885,230,370,
8,287.5,337.725,240,380,
9,296.8198052,346.9516071,10,390,
10,303.9711432,354.0314317,20,400,
11,308.4666622,358.4819956,30,410,
12,310,360,40,180,
13,308.4666622,358.4819956,50,190,
14,303.9711432,354.0314317,60,200,
15,296.8198052,346.9516071,70,210,
16,287.5,337.725,80,220,
17,276.646857,326.9803885,90,230,
18,265,315.45,100,240,
19,253.353143,303.9196115,110,250,
20,242.5,293.175,120,260,
21,233.1801948,283.9483929,130,270,
22,226.0288568,276.8685683,140,280,
23,221.5333378,272.4180044,150,290,
24,220,270.9,160,300,
1,221.5333378,272.4180044,170,310,
2,226.0288568,276.8685683,180,320,
3,233.1801948,283.9483929,190,330,
4,242.5,293.175,200,340,
5,253.353143,303.9196115,210,350,
6,265,315.45,220,360,
7,276.646857,326.9803885,230,370,
8,287.5,337.725,240,380,
9,296.8198052,346.9516071,10,390,
10,303.9711432,354.0314317,20,400,
11,308.4666622,358.4819956,30,410,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
