"","ambient","heat_wave","future","time"
"1",276.646857029613,327.017447507062,296.646857029613,70
"2",287.5,337.75,307.5,80
"3",296.819805153395,346.966251762801,316.819805153395,90
"4",303.9711431703,354.038130468408,323.9711431703,100
"5",308.466662183008,358.483699269864,328.466662183008,110
"6",310,360,330,120
"7",308.466662183008,358.483699269864,328.466662183008,130
"8",303.9711431703,354.038130468408,323.9711431703,140
"9",296.819805153395,346.966251762801,316.819805153395,150
"10",287.5,337.75,307.5,160
"11",276.646857029613,327.017447507062,296.646857029613,170
"12",265,315.5,285,180
"13",253.353142970387,303.982552492938,273.353142970387,190
"14",242.5,293.25,262.5,200
"15",233.180194846605,284.033748237199,253.180194846605,210
"16",226.0288568297,276.961869531593,246.0288568297,220
"17",221.533337816992,272.516300730136,241.533337816992,230
"18",220,271,240,240
"19",221.533337816992,272.516300730136,241.533337816992,10
"20",226.0288568297,276.961869531592,246.0288568297,20
"21",233.180194846605,284.033748237199,253.180194846605,30
"22",242.5,293.25,262.5,40
"23",253.353142970387,303.982552492938,273.353142970387,50
"24",265,315.5,285,60
"1.1",276.646857029613,327.017447507062,296.646857029613,70
"2.1",287.5,337.75,307.5,80
"3.1",296.819805153395,346.966251762801,316.819805153395,90
"4.1",303.9711431703,354.038130468408,323.9711431703,100
"5.1",308.466662183008,358.483699269864,328.466662183008,110
"6.1",310,360,330,120
"7.1",308.466662183008,358.483699269864,328.466662183008,130
"8.1",303.9711431703,354.038130468408,323.9711431703,140
"9.1",296.819805153395,346.966251762801,316.819805153395,150
"10.1",287.5,337.75,307.5,160
"11.1",276.646857029613,327.017447507062,296.646857029613,170
"12.1",265,315.5,285,180
"13.1",253.353142970387,303.982552492938,273.353142970387,190
"14.1",242.5,293.25,262.5,200
"15.1",233.180194846605,284.033748237199,253.180194846605,210
"16.1",226.0288568297,276.961869531593,246.0288568297,220
"17.1",221.533337816992,272.516300730136,241.533337816992,230
"18.1",220,271,240,240
"19.1",221.533337816992,272.516300730136,241.533337816992,10
"20.1",226.0288568297,276.961869531592,246.0288568297,20
"21.1",233.180194846605,284.033748237199,253.180194846605,30
"22.1",242.5,293.25,262.5,40
"23.1",253.353142970387,303.982552492938,273.353142970387,50
"24.1",265,315.5,285,60
"1.2",276.646857029613,327.017447507062,296.646857029613,70
"2.2",287.5,337.75,307.5,80
"3.2",296.819805153395,346.966251762801,316.819805153395,90
"4.2",303.9711431703,354.038130468408,323.9711431703,100
"5.2",308.466662183008,358.483699269864,328.466662183008,110
"6.2",310,360,330,120
"7.2",308.466662183008,358.483699269864,328.466662183008,130
"8.2",303.9711431703,354.038130468408,323.9711431703,140
"9.2",296.819805153395,346.966251762801,316.819805153395,150
"10.2",287.5,337.75,307.5,160
"11.2",276.646857029613,327.017447507062,296.646857029613,170
"12.2",265,315.5,285,180
"13.2",253.353142970387,303.982552492938,273.353142970387,190
"14.2",242.5,293.25,262.5,200
"15.2",233.180194846605,284.033748237199,253.180194846605,210
"16.2",226.0288568297,276.961869531593,246.0288568297,220
"17.2",221.533337816992,272.516300730136,241.533337816992,230
"18.2",220,271,240,240
"19.2",221.533337816992,272.516300730136,241.533337816992,10
"20.2",226.0288568297,276.961869531592,246.0288568297,20
"21.2",233.180194846605,284.033748237199,253.180194846605,30
"22.2",242.5,293.25,262.5,40
"23.2",253.353142970387,303.982552492938,273.353142970387,50
"24.2",265,315.5,285,60
"1.3",276.646857029613,327.017447507062,296.646857029613,70
"2.3",287.5,337.75,307.5,80
"3.3",296.819805153395,346.966251762801,316.819805153395,90
"4.3",303.9711431703,354.038130468408,323.9711431703,100
"5.3",308.466662183008,358.483699269864,328.466662183008,110
"6.3",310,360,330,120
"7.3",308.466662183008,358.483699269864,328.466662183008,130
"8.3",303.9711431703,354.038130468408,323.9711431703,140
"9.3",296.819805153395,346.966251762801,316.819805153395,150
"10.3",287.5,337.75,307.5,160
"11.3",276.646857029613,327.017447507062,296.646857029613,170
"12.3",265,315.5,285,180
"13.3",253.353142970387,303.982552492938,273.353142970387,190
"14.3",242.5,293.25,262.5,200
"15.3",233.180194846605,284.033748237199,253.180194846605,210
"16.3",226.0288568297,276.961869531593,246.0288568297,220
"17.3",221.533337816992,272.516300730136,241.533337816992,230
"18.3",220,271,240,240
"19.3",221.533337816992,272.516300730136,241.533337816992,10
"20.3",226.0288568297,276.961869531592,246.0288568297,20
"21.3",233.180194846605,284.033748237199,253.180194846605,30
"22.3",242.5,293.25,262.5,40
"23.3",253.353142970387,303.982552492938,273.353142970387,50
"24.3",265,315.5,285,60
"1.4",276.646857029613,327.017447507062,296.646857029613,70
"2.4",287.5,337.75,307.5,80
"3.4",296.819805153395,346.966251762801,316.819805153395,90
"4.4",303.9711431703,354.038130468408,323.9711431703,100
"5.4",308.466662183008,358.483699269864,328.466662183008,110
"6.4",310,360,330,120
"7.4",308.466662183008,358.483699269864,328.466662183008,130
"8.4",303.9711431703,354.038130468408,323.9711431703,140
"9.4",296.819805153395,346.966251762801,316.819805153395,150
"10.4",287.5,337.75,307.5,160
"11.4",276.646857029613,327.017447507062,296.646857029613,170
"12.4",265,315.5,285,180
"13.4",253.353142970387,303.982552492938,273.353142970387,190
"14.4",242.5,293.25,262.5,200
"15.4",233.180194846605,284.033748237199,253.180194846605,210
"16.4",226.0288568297,276.961869531593,246.0288568297,220
"17.4",221.533337816992,272.516300730136,241.533337816992,230
"18.4",220,271,240,240
"19.4",221.533337816992,272.516300730136,241.533337816992,10
"20.4",226.0288568297,276.961869531592,246.0288568297,20
"21.4",233.180194846605,284.033748237199,253.180194846605,30
"22.4",242.5,293.25,262.5,40
"23.4",253.353142970387,303.982552492938,273.353142970387,50
"24.4",265,315.5,285,60
